Plot Title: EC_01,,,,,,,,,,
#,"Date Time, GMT-05:00","Low Range, μS/cm (LGR S/N: 20636125, SEN S/N: 20636125)",fullrange,"Temp, °C (LGR S/N: 20636125, SEN S/N: 20636125)","Temp, °F (LGR S/N: 20636125, SEN S/N: 20636125)",Coupler Detached (LGR S/N: 20636125),Coupler Attached (LGR S/N: 20636125),Host Connected (LGR S/N: 20636125),Stopped (LGR S/N: 20636125),End Of File (LGR S/N: 20636125)
54,7/28/2021 2:30,8.3,,8.2,46.76,,,,,
55,7/28/2021 2:45,8.2,,8.161111111,46.69,,,,,
56,7/28/2021 3:00,8.3,,8.138888889,46.65,,,,,
57,7/28/2021 3:15,8.3,,8.077777778,46.54,,,,,
58,7/28/2021 3:30,8.2,,7.972222222,46.35,,,,,
59,7/28/2021 3:45,8.3,,7.911111111,46.24,,,,,
60,7/28/2021 4:00,8.2,,7.85,46.13,,,,,
61,7/28/2021 4:15,8.2,,7.772222222,45.99,,,,,
62,7/28/2021 4:30,8.2,,7.688888889,45.84,,,,,
63,7/28/2021 4:45,8.2,,7.588888889,45.66,,,,,
64,7/28/2021 5:00,8.2,,7.527777778,45.55,,,,,
65,7/28/2021 5:15,8.2,,7.45,45.41,,,,,
66,7/28/2021 5:30,8.2,,7.4,45.32,,,,,
67,7/28/2021 5:45,8.2,,7.338888889,45.21,,,,,
68,7/28/2021 6:00,8.2,,7.288888889,45.12,,,,,
69,7/28/2021 6:15,8.2,,7.238888889,45.03,,,,,
70,7/28/2021 6:30,8.1,,7.177777778,44.92,,,,,
71,7/28/2021 6:45,8.1,,7.161111111,44.89,,,,,
72,7/28/2021 7:00,8.1,,7.138888889,44.85,,,,,
73,7/28/2021 7:15,8.2,,7.222222222,45,,,,,
74,7/28/2021 7:30,8.2,,7.327777778,45.19,,,,,
75,7/28/2021 7:45,8.2,,7.422222222,45.36,,,,,
76,7/28/2021 8:00,8.2,,7.527777778,45.55,,,,,
77,7/28/2021 8:15,8.2,,7.627777778,45.73,,,,,
78,7/28/2021 8:30,8.2,,7.75,45.95,,,,,
79,7/28/2021 8:45,8.2,,7.872222222,46.17,,,,,
80,7/28/2021 9:00,8.2,,8,46.4,,,,,
81,7/28/2021 9:15,8.2,,8.272222222,46.89,,,,,
82,7/28/2021 9:30,8.2,,8.377777778,47.08,,,,,
83,7/28/2021 9:45,8.3,,8.638888889,47.55,,,,,
84,7/28/2021 10:00,8.4,,8.927777778,48.07,,,,,
85,7/28/2021 10:15,8.3,,9.05,48.29,,,,,
86,7/28/2021 10:30,8.3,,9.077777778,48.34,,,,,
87,7/28/2021 10:45,8.2,,9.211111111,48.58,,,,,
88,7/28/2021 11:00,8.3,,9.238888889,48.63,,,,,
89,7/28/2021 11:15,8.2,,9.172222222,48.51,,,,,
90,7/28/2021 11:30,8.2,,9.2,48.56,,,,,
91,7/28/2021 11:45,8.1,,9.338888889,48.81,,,,,
92,7/28/2021 12:00,8.3,,9.577777778,49.24,,,,,
93,7/28/2021 12:15,8.4,,9.872222222,49.77,,,,,
94,7/28/2021 12:30,8.4,,10.55,50.99,,,,,
95,7/28/2021 12:45,8.5,,10.8,51.44,,,,,
96,7/28/2021 13:00,8.3,,10.72222222,51.3,,,,,
97,7/28/2021 13:15,8.6,,11.41111111,52.54,,,,,
98,7/28/2021 13:30,8.9,,11.73888889,53.13,,,,,
99,7/28/2021 13:45,9.1,,11.78888889,53.22,,,,,
100,7/28/2021 14:00,9,,11.71111111,53.08,,,,,
101,7/28/2021 14:15,9,,11.9,53.42,,,,,
102,7/28/2021 14:30,9,,11.82222222,53.28,,,,,
103,7/28/2021 14:45,9,,11.88888889,53.4,,,,,
104,7/28/2021 15:00,9,,12.07222222,53.73,,,,,
105,7/28/2021 15:15,9,,12.33888889,54.21,,,,,
106,7/28/2021 15:30,9,,12.33888889,54.21,,,,,
107,7/28/2021 15:45,9,,12.48888889,54.48,,,,,
108,7/28/2021 16:00,9,,12.52777778,54.55,,,,,
109,7/28/2021 16:15,9,,12.47777778,54.46,,,,,
110,7/28/2021 16:30,9,,12.4,54.32,,,,,
111,7/28/2021 16:45,9,,12.26111111,54.07,,,,,
112,7/28/2021 17:00,9,,11.97777778,53.56,,,,,
113,7/28/2021 17:15,9,,11.7,53.06,,,,,
114,7/28/2021 17:30,9,,11.48888889,52.68,,,,,
115,7/28/2021 17:45,9,,11.33888889,52.41,,,,,
116,7/28/2021 18:00,9,,11.2,52.16,,,,,
117,7/28/2021 18:15,9,,11.06111111,51.91,,,,,
118,7/28/2021 18:30,9.1,,10.92222222,51.66,,,,,
119,7/28/2021 18:45,9.1,,10.77222222,51.39,,,,,
120,7/28/2021 19:00,9,,10.63888889,51.15,,,,,
121,7/28/2021 19:15,9.1,,10.51111111,50.92,,,,,
122,7/28/2021 19:30,9.1,,10.4,50.72,,,,,
123,7/28/2021 19:45,9.1,,10.32222222,50.58,,,,,
124,7/28/2021 20:00,9.1,,10.22777778,50.41,,,,,
125,7/28/2021 20:15,9.1,,10.16111111,50.29,,,,,
126,7/28/2021 20:30,9.1,,10.07222222,50.13,,,,,
127,7/28/2021 20:45,9.1,,10.02777778,50.05,,,,,
128,7/28/2021 21:00,9.2,,9.972222222,49.95,,,,,
129,7/28/2021 21:15,9.2,,9.9,49.82,,,,,
130,7/28/2021 21:30,9.1,,9.827777778,49.69,,,,,
131,7/28/2021 21:45,9.2,,9.788888889,49.62,,,,,
132,7/28/2021 22:00,9.2,,9.727777778,49.51,,,,,
133,7/28/2021 22:15,9.3,,9.688888889,49.44,,,,,
134,7/28/2021 22:30,9.3,,9.627777778,49.33,,,,,
135,7/28/2021 22:45,9.3,,9.577777778,49.24,,,,,
136,7/28/2021 23:00,9.3,,9.527777778,49.15,,,,,
137,7/28/2021 23:15,9.3,,9.477777778,49.06,,,,,
138,7/28/2021 23:30,9.3,,9.422222222,48.96,,,,,
139,7/28/2021 23:45,9.3,,9.372222222,48.87,,,,,
140,7/29/2021 0:00,9.3,,9.327777778,48.79,,,,,
141,7/29/2021 0:15,9.3,,9.277777778,48.7,,,,,
142,7/29/2021 0:30,9.3,,9.222222222,48.6,,,,,
143,7/29/2021 0:45,9.3,,9.172222222,48.51,,,,,
144,7/29/2021 1:00,9.3,,9.138888889,48.45,,,,,
145,7/29/2021 1:15,9.3,,9.061111111,48.31,,,,,
146,7/29/2021 1:30,9.2,,9.011111111,48.22,,,,,
147,7/29/2021 1:45,9.3,,8.977777778,48.16,,,,,
148,7/29/2021 2:00,9.3,,8.961111111,48.13,,,,,
149,7/29/2021 2:15,9.4,,8.911111111,48.04,,,,,
150,7/29/2021 2:30,9.3,,8.85,47.93,,,,,
151,7/29/2021 2:45,9.3,,8.811111111,47.86,,,,,
152,7/29/2021 3:00,9.3,,8.788888889,47.82,,,,,
153,7/29/2021 3:15,9.3,,8.761111111,47.77,,,,,
154,7/29/2021 3:30,9.4,,8.722222222,47.7,,,,,
155,7/29/2021 3:45,9.4,,8.711111111,47.68,,,,,
156,7/29/2021 4:00,9.4,,8.672222222,47.61,,,,,
157,7/29/2021 4:15,9.3,,8.638888889,47.55,,,,,
158,7/29/2021 4:30,9.4,,8.627777778,47.53,,,,,
159,7/29/2021 4:45,9.4,,8.588888889,47.46,,,,,
160,7/29/2021 5:00,9.4,,8.561111111,47.41,,,,,
161,7/29/2021 5:15,9.4,,8.527777778,47.35,,,,,
162,7/29/2021 5:30,9.4,,8.477777778,47.26,,,,,
163,7/29/2021 5:45,9.4,,8.4,47.12,,,,,
164,7/29/2021 6:00,9.4,,8.35,47.03,,,,,
165,7/29/2021 6:15,9.4,,8.361111111,47.05,,,,,
166,7/29/2021 6:30,9.4,,8.338888889,47.01,,,,,
167,7/29/2021 6:45,9.4,,8.338888889,47.01,,,,,
168,7/29/2021 7:00,9.4,,8.311111111,46.96,,,,,
169,7/29/2021 7:15,9.4,,8.322222222,46.98,,,,,
170,7/29/2021 7:30,9.4,,8.338888889,47.01,,,,,
171,7/29/2021 7:45,9.4,,8.35,47.03,,,,,
172,7/29/2021 8:00,9.4,,8.377777778,47.08,,,,,
173,7/29/2021 8:15,9.4,,8.427777778,47.17,,,,,
174,7/29/2021 8:30,9.4,,8.511111111,47.32,,,,,
175,7/29/2021 8:45,9.4,,8.572222222,47.43,,,,,
176,7/29/2021 9:00,9.4,,8.627777778,47.53,,,,,
177,7/29/2021 9:15,9.4,,8.75,47.75,,,,,
178,7/29/2021 9:30,9.4,,8.922222222,48.06,,,,,
179,7/29/2021 9:45,9.4,,9.088888889,48.36,,,,,
180,7/29/2021 10:00,9.4,,9.2,48.56,,,,,
181,7/29/2021 10:15,9.4,,9.222222222,48.6,,,,,
182,7/29/2021 10:30,9.4,,9.338888889,48.81,,,,,
183,7/29/2021 10:45,9.4,,9.538888889,49.17,,,,,
184,7/29/2021 11:00,9.4,,9.661111111,49.39,,,,,
185,7/29/2021 11:15,9.4,,9.777777778,49.6,,,,,
186,7/29/2021 11:30,9.4,,9.988888889,49.98,,,,,
187,7/29/2021 11:45,9.4,,10.06111111,50.11,,,,,
188,7/29/2021 12:00,9.4,,10.03888889,50.07,,,,,
189,7/29/2021 12:15,9.3,,10.18888889,50.34,,,,,
190,7/29/2021 12:30,9.4,,10.31111111,50.56,,,,,
191,7/29/2021 12:45,9.3,,10.36111111,50.65,,,,,
192,7/29/2021 13:00,9.4,,10.46111111,50.83,,,,,
193,7/29/2021 13:15,9.4,,10.92777778,51.67,,,,,
194,7/29/2021 13:30,9.5,,11.57777778,52.84,,,,,
195,7/29/2021 13:45,9.7,,12.13888889,53.85,,,,,
196,7/29/2021 14:00,9.6,,12.27222222,54.09,,,,,
197,7/29/2021 14:15,9.8,,12.65,54.77,,,,,
198,7/29/2021 14:30,9.7,,13.06111111,55.51,,,,,
199,7/29/2021 14:45,9.8,,13.23888889,55.83,,,,,
200,7/29/2021 15:00,9.7,,13.21111111,55.78,,,,,
201,7/29/2021 15:15,9.7,,12.95,55.31,,,,,
202,7/29/2021 15:30,9.7,,12.78888889,55.02,,,,,
203,7/29/2021 15:45,9.7,,12.72777778,54.91,,,,,
204,7/29/2021 16:00,9.7,,12.62777778,54.73,,,,,
205,7/29/2021 16:15,9.6,,12.27222222,54.09,,,,,
206,7/29/2021 16:30,9.6,,12.02222222,53.64,,,,,
207,7/29/2021 16:45,9.5,,11.97222222,53.55,,,,,
208,7/29/2021 17:00,9.6,,11.86111111,53.35,,,,,
209,7/29/2021 17:15,9.6,,11.82222222,53.28,,,,,
210,7/29/2021 17:30,9.7,,11.65,52.97,,,,,
211,7/29/2021 17:45,9.6,,11.55,52.79,,,,,
212,7/29/2021 18:00,9.6,,11.42222222,52.56,,,,,
213,7/29/2021 18:15,9.6,,11.28888889,52.32,,,,,
214,7/29/2021 18:30,9.6,,11.13888889,52.05,,,,,
215,7/29/2021 18:45,9.6,,11.02222222,51.84,,,,,
216,7/29/2021 19:00,9.6,,10.91111111,51.64,,,,,
217,7/29/2021 19:15,9.6,,10.82777778,51.49,,,,,
218,7/29/2021 19:30,9.6,,10.75,51.35,,,,,
219,7/29/2021 19:45,9.6,,10.67222222,51.21,,,,,
220,7/29/2021 20:00,9.6,,10.61111111,51.1,,,,,
221,7/29/2021 20:15,9.6,,10.52777778,50.95,,,,,
222,7/29/2021 20:30,9.5,,10.47777778,50.86,,,,,
223,7/29/2021 20:45,9.3,,10.42222222,50.76,,,,,
224,7/29/2021 21:00,9.2,,10.37777778,50.68,,,,,
225,7/29/2021 21:15,9.3,,10.32222222,50.58,,,,,
226,7/29/2021 21:30,9.3,,10.27222222,50.49,,,,,
227,7/29/2021 21:45,9.2,,10.22777778,50.41,,,,,
228,7/29/2021 22:00,9.2,,10.22222222,50.4,,,,,
229,7/29/2021 22:15,9.3,,10.15,50.27,,,,,
230,7/29/2021 22:30,9.5,,10.11111111,50.2,,,,,
231,7/29/2021 22:45,9.4,,10.07777778,50.14,,,,,
232,7/29/2021 23:00,9.4,,10.06111111,50.11,,,,,
233,7/29/2021 23:15,9.4,,10.02777778,50.05,,,,,
234,7/29/2021 23:30,9.4,,10,50,,,,,
235,7/29/2021 23:45,9.4,,9.977777778,49.96,,,,,
236,7/30/2021 0:00,9.4,,9.95,49.91,,,,,
237,7/30/2021 0:15,9.6,,9.9,49.82,,,,,
238,7/30/2021 0:30,9.5,,9.861111111,49.75,,,,,
239,7/30/2021 0:45,9.4,,9.822222222,49.68,,,,,
240,7/30/2021 1:00,9.7,,9.788888889,49.62,,,,,
241,7/30/2021 1:15,9.6,,9.75,49.55,,,,,
242,7/30/2021 1:30,9.7,,9.727777778,49.51,,,,,
243,7/30/2021 1:45,9.6,,9.688888889,49.44,,,,,
244,7/30/2021 2:00,9.7,,9.627777778,49.33,,,,,
245,7/30/2021 2:15,9.7,,9.611111111,49.3,,,,,
246,7/30/2021 2:30,9.6,,9.572222222,49.23,,,,,
247,7/30/2021 2:45,9.6,,9.538888889,49.17,,,,,
248,7/30/2021 3:00,9.6,,9.511111111,49.12,,,,,
249,7/30/2021 3:15,9.6,,9.477777778,49.06,,,,,
250,7/30/2021 3:30,9.6,,9.422222222,48.96,,,,,
251,7/30/2021 3:45,9.6,,9.411111111,48.94,,,,,
252,7/30/2021 4:00,9.6,,9.4,48.92,,,,,
253,7/30/2021 4:15,9.6,,9.377777778,48.88,,,,,
254,7/30/2021 4:30,9.6,,9.372222222,48.87,,,,,
255,7/30/2021 4:45,9.6,,9.338888889,48.81,,,,,
256,7/30/2021 5:00,9.6,,9.322222222,48.78,,,,,
257,7/30/2021 5:15,9.5,,9.288888889,48.72,,,,,
258,7/30/2021 5:30,9.6,,9.261111111,48.67,,,,,
259,7/30/2021 5:45,9.6,,9.25,48.65,,,,,
260,7/30/2021 6:00,9.4,,9.177777778,48.52,,,,,
261,7/30/2021 6:15,9.4,,9.138888889,48.45,,,,,
262,7/30/2021 6:30,9.3,,9.127777778,48.43,,,,,
263,7/30/2021 6:45,9.4,,9.122222222,48.42,,,,,
264,7/30/2021 7:00,9.4,,9.088888889,48.36,,,,,
265,7/30/2021 7:15,9.3,,9.088888889,48.36,,,,,
266,7/30/2021 7:30,9.4,,9.1,48.38,,,,,
267,7/30/2021 7:45,9.3,,9.127777778,48.43,,,,,
268,7/30/2021 8:00,9.3,,9.161111111,48.49,,,,,
269,7/30/2021 8:15,9.3,,9.211111111,48.58,,,,,
270,7/30/2021 8:30,9.2,,9.25,48.65,,,,,
271,7/30/2021 8:45,9.4,,9.338888889,48.81,,,,,
272,7/30/2021 9:00,9.4,,9.45,49.01,,,,,
273,7/30/2021 9:15,9.2,,9.511111111,49.12,,,,,
274,7/30/2021 9:30,9,,9.55,49.19,,,,,
275,7/30/2021 9:45,9.1,,9.611111111,49.3,,,,,
276,7/30/2021 10:00,9,,9.661111111,49.39,,,,,
277,7/30/2021 10:15,9.1,,9.711111111,49.48,,,,,
278,7/30/2021 10:30,9.1,,9.788888889,49.62,,,,,
279,7/30/2021 10:45,9.1,,9.861111111,49.75,,,,,
280,7/30/2021 11:00,8.9,,9.927777778,49.87,,,,,
281,7/30/2021 11:15,9,,9.977777778,49.96,,,,,
282,7/30/2021 11:30,8.9,,10.1,50.18,,,,,
283,7/30/2021 11:45,9,,10.22222222,50.4,,,,,
284,7/30/2021 12:00,9,,10.36111111,50.65,,,,,
285,7/30/2021 12:15,9.1,,10.48888889,50.88,,,,,
286,7/30/2021 12:30,9.1,,10.55,50.99,,,,,
287,7/30/2021 12:45,9.1,,10.57222222,51.03,,,,,
288,7/30/2021 13:00,9.1,,10.67222222,51.21,,,,,
289,7/30/2021 13:15,9.1,,10.63888889,51.15,,,,,
290,7/30/2021 13:30,9.1,,10.6,51.08,,,,,
291,7/30/2021 13:45,8.8,,10.58888889,51.06,,,,,
292,7/30/2021 14:00,8.8,,10.55,50.99,,,,,
293,7/30/2021 14:15,8.9,,10.55,50.99,,,,,
294,7/30/2021 14:30,8.9,,10.68888889,51.24,,,,,
295,7/30/2021 14:45,9,,11.01111111,51.82,,,,,
296,7/30/2021 15:00,9,,11.07777778,51.94,,,,,
297,7/30/2021 15:15,9,,11,51.8,,,,,
298,7/30/2021 15:30,9.1,,10.92777778,51.67,,,,,
299,7/30/2021 15:45,9.1,,10.98888889,51.78,,,,,
300,7/30/2021 16:00,9,,11.12777778,52.03,,,,,
301,7/30/2021 16:15,9.1,,11.03888889,51.87,,,,,
302,7/30/2021 16:30,9,,11.03888889,51.87,,,,,
303,7/30/2021 16:45,9,,10.98888889,51.78,,,,,
304,7/30/2021 17:00,9,,10.92222222,51.66,,,,,
305,7/30/2021 17:15,9,,10.87777778,51.58,,,,,
306,7/30/2021 17:30,9,,10.81111111,51.46,,,,,
307,7/30/2021 17:45,9,,10.67777778,51.22,,,,,
308,7/30/2021 18:00,9,,10.56111111,51.01,,,,,
309,7/30/2021 18:15,8.9,,10.47777778,50.86,,,,,
310,7/30/2021 18:30,9,,10.38888889,50.7,,,,,
311,7/30/2021 18:45,8.9,,10.31111111,50.56,,,,,
312,7/30/2021 19:00,9,,10.22777778,50.41,,,,,
313,7/30/2021 19:15,9,,10.17777778,50.32,,,,,
314,7/30/2021 19:30,9,,10.11111111,50.2,,,,,
315,7/30/2021 19:45,9,,10.07777778,50.14,,,,,
316,7/30/2021 20:00,8.9,,10.02222222,50.04,,,,,
317,7/30/2021 20:15,8.9,,9.988888889,49.98,,,,,
318,7/30/2021 20:30,8.9,,9.95,49.91,,,,,
319,7/30/2021 20:45,8.9,,9.911111111,49.84,,,,,
320,7/30/2021 21:00,8.9,,9.861111111,49.75,,,,,
321,7/30/2021 21:15,8.9,,9.811111111,49.66,,,,,
322,7/30/2021 21:30,9,,9.777777778,49.6,,,,,
323,7/30/2021 21:45,8.9,,9.727777778,49.51,,,,,
324,7/30/2021 22:00,9,,9.688888889,49.44,,,,,
325,7/30/2021 22:15,8.9,,9.661111111,49.39,,,,,
326,7/30/2021 22:30,8.9,,9.611111111,49.3,,,,,
327,7/30/2021 22:45,9,,9.577777778,49.24,,,,,
328,7/30/2021 23:00,9,,9.55,49.19,,,,,
329,7/30/2021 23:15,9,,9.511111111,49.12,,,,,
330,7/30/2021 23:30,9,,9.488888889,49.08,,,,,
331,7/30/2021 23:45,9,,9.461111111,49.03,,,,,
332,7/31/2021 0:00,9,,9.411111111,48.94,,,,,
333,7/31/2021 0:15,9,,9.377777778,48.88,,,,,
334,7/31/2021 0:30,9,,9.361111111,48.85,,,,,
335,7/31/2021 0:45,9,,9.322222222,48.78,,,,,
336,7/31/2021 1:00,9,,9.288888889,48.72,,,,,
337,7/31/2021 1:15,9,,9.238888889,48.63,,,,,
338,7/31/2021 1:30,9,,9.211111111,48.58,,,,,
339,7/31/2021 1:45,9.1,,9.177777778,48.52,,,,,
340,7/31/2021 2:00,9,,9.138888889,48.45,,,,,
341,7/31/2021 2:15,9.1,,9.1,48.38,,,,,
342,7/31/2021 2:30,9,,9.088888889,48.36,,,,,
343,7/31/2021 2:45,9,,9.088888889,48.36,,,,,
344,7/31/2021 3:00,9,,9.061111111,48.31,,,,,
345,7/31/2021 3:15,9,,9,48.2,,,,,
346,7/31/2021 3:30,9,,8.911111111,48.04,,,,,
347,7/31/2021 3:45,8.9,,8.8,47.84,,,,,
348,7/31/2021 4:00,9,,8.75,47.75,,,,,
349,7/31/2021 4:15,8.9,,8.677777778,47.62,,,,,
350,7/31/2021 4:30,8.9,,8.611111111,47.5,,,,,
351,7/31/2021 4:45,8.9,,8.561111111,47.41,,,,,
352,7/31/2021 5:00,8.9,,8.522222222,47.34,,,,,
353,7/31/2021 5:15,8.9,,8.472222222,47.25,,,,,
354,7/31/2021 5:30,8.9,,8.427777778,47.17,,,,,
355,7/31/2021 5:45,8.9,,8.388888889,47.1,,,,,
356,7/31/2021 6:00,8.8,,8.322222222,46.98,,,,,
357,7/31/2021 6:15,8.8,,8.272222222,46.89,,,,,
358,7/31/2021 6:30,8.9,,8.238888889,46.83,,,,,
359,7/31/2021 6:45,8.9,,8.222222222,46.8,,,,,
360,7/31/2021 7:00,8.8,,8.2,46.76,,,,,
361,7/31/2021 7:15,8.8,,8.177777778,46.72,,,,,
362,7/31/2021 7:30,8.8,,8.161111111,46.69,,,,,
363,7/31/2021 7:45,8.9,,8.222222222,46.8,,,,,
364,7/31/2021 8:00,8.9,,8.4,47.12,,,,,
365,7/31/2021 8:15,8.9,,8.6,47.48,,,,,
366,7/31/2021 8:30,9,,8.827777778,47.89,,,,,
367,7/31/2021 8:45,9,,9.038888889,48.27,,,,,
368,7/31/2021 9:00,9.1,,9.238888889,48.63,,,,,
369,7/31/2021 9:15,9.1,,9.422222222,48.96,,,,,
370,7/31/2021 9:30,9.1,,9.55,49.19,,,,,
371,7/31/2021 9:45,9.1,,9.627777778,49.33,,,,,
372,7/31/2021 10:00,9.2,,9.861111111,49.75,,,,,
373,7/31/2021 10:15,9.3,,10.11111111,50.2,,,,,
374,7/31/2021 10:30,9.2,,10.27777778,50.5,,,,,
375,7/31/2021 10:45,9.3,,10.42777778,50.77,,,,,
376,7/31/2021 11:00,9.3,,10.6,51.08,,,,,
377,7/31/2021 11:15,9.3,,10.72777778,51.31,,,,,
378,7/31/2021 11:30,9.3,,10.92222222,51.66,,,,,
379,7/31/2021 11:45,9.3,,11.1,51.98,,,,,
380,7/31/2021 12:00,9.4,,11.37777778,52.48,,,,,
381,7/31/2021 12:15,9.4,,11.57222222,52.83,,,,,
382,7/31/2021 12:30,9.4,,11.77777778,53.2,,,,,
383,7/31/2021 12:45,9.4,,11.82777778,53.29,,,,,
384,7/31/2021 13:00,9.4,,11.98888889,53.58,,,,,
385,7/31/2021 13:15,9.4,,12.11111111,53.8,,,,,
386,7/31/2021 13:30,9.5,,12.26111111,54.07,,,,,
387,7/31/2021 13:45,9.5,,12.3,54.14,,,,,
388,7/31/2021 14:00,9.5,,12.55,54.59,,,,,
389,7/31/2021 14:15,9.5,,12.77222222,54.99,,,,,
390,7/31/2021 14:30,9.5,,12.8,55.04,,,,,
391,7/31/2021 14:45,9.5,,12.55,54.59,,,,,
392,7/31/2021 15:00,9.4,,12.27777778,54.1,,,,,
393,7/31/2021 15:15,9.4,,12.07222222,53.73,,,,,
394,7/31/2021 15:30,9.4,,12.11111111,53.8,,,,,
395,7/31/2021 15:45,9.4,,12.22222222,54,,,,,
396,7/31/2021 16:00,9.4,,12.36111111,54.25,,,,,
397,7/31/2021 16:15,9.4,,12.35,54.23,,,,,
398,7/31/2021 16:30,9.4,,12.3,54.14,,,,,
399,7/31/2021 16:45,9.4,,12.2,53.96,,,,,
400,7/31/2021 17:00,9.4,,12.07222222,53.73,,,,,
401,7/31/2021 17:15,9.3,,11.91111111,53.44,,,,,
402,7/31/2021 17:30,9.3,,11.7,53.06,,,,,
403,7/31/2021 17:45,9.3,,11.47777778,52.66,,,,,
404,7/31/2021 18:00,9.3,,11.27777778,52.3,,,,,
405,7/31/2021 18:15,9.3,,11.12222222,52.02,,,,,
406,7/31/2021 18:30,9.2,,10.98888889,51.78,,,,,
407,7/31/2021 18:45,9.2,,10.92777778,51.67,,,,,
408,7/31/2021 19:00,9.3,,10.85,51.53,,,,,
409,7/31/2021 19:15,9.2,,10.72222222,51.3,,,,,
410,7/31/2021 19:30,9.2,,10.62777778,51.13,,,,,
411,7/31/2021 19:45,9.2,,10.52222222,50.94,,,,,
412,7/31/2021 20:00,9.1,,10.48888889,50.88,,,,,
413,7/31/2021 20:15,9.3,,10.47777778,50.86,,,,,
414,7/31/2021 20:30,9.2,,10.47222222,50.85,,,,,
415,7/31/2021 20:45,9.2,,10.46111111,50.83,,,,,
416,7/31/2021 21:00,9.2,,10.38888889,50.7,,,,,
417,7/31/2021 21:15,9.2,,10.35,50.63,,,,,
418,7/31/2021 21:30,9.3,,10.31111111,50.56,,,,,
