code,Flouride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,nitrite_UV,Bromide_UV,DOC (mg/L),TDN (mg/L),PO4-P (mg/L),NO3-N (mg/L),station_id,Date,Time,Notes,Station
station1_2019-08-14,0.019384385,0.26281235,BTL,BTL,BTL,BTL,0.233136755,BTL,BTL,5.165,0.1443,<0.01,<0.05,stn1,8/14/19,12:00,time unknown,Stn01
groundwater_2019-07-11_1446,0.042013143,0.347260942,BTL,BTL,BTL,BTL,0.396143094,BTL,BTL,3.938,0.1722,<0.01,<0.05,groundwater,7/11/19,14:46,,groundwater
groundwater_2019-07-16_1551,0.018179261,0.13799172,BTL,BTL,BTL,BTL,0.358897991,BTL,BTL,4.218,0.1243,<0.01,<0.05,groundwater,7/16/19,15:51,,groundwater
groundwater_2019-07-19,0.03296534,0.237223602,BTL,BTL,BTL,BTL,0.364266569,BTL,BTL,4.518,0.1545,<0.01,<0.05,groundwater,7/19/19,12:00,time unknown,groundwater
groundwater_2019-07-22,0.030942001,0.443247151,BTL,BTL,0.041242837,BTL,0.326483122,BTL,BTL,5.455,0.1737,<0.01,<0.05,groundwater,7/22/19,12:00,time unknown,groundwater
groundwater_2019-07-26,0.019224173,0.140514842,BTL,BTL,BTL,BTL,0.327096828,BTL,BTL,4.553,0.1173,<0.01,<0.05,groundwater,7/26/19,12:00,time unknown,groundwater
groundwater_2019-07-31,0.072553483,0.879523669,BTL,BTL,BTL,BTL,0.30118948,BTL,BTL,6.875,0.2335,<0.01,<0.05,groundwater,7/31/19,12:00,time unknown,groundwater
groundwater_2019-08-02or12,0.040632653,0.287220679,BTL,BTL,0.056501116,BTL,0.374446136,BTL,BTL,4.217,0.308,<0.01,<0.05,groundwater,8/2/19,12:00,time unknown,groundwater
groundwater_2019-08-05,0.018227744,0.134797243,BTL,BTL,BTL,BTL,0.351543949,BTL,BTL,3.972,0.1235,<0.01,<0.05,groundwater,8/5/19,12:00,time unknown,groundwater
groundwater_2019-08-08,0.019661646,0.166414712,BTL,BTL,BTL,BTL,0.34582119,BTL,BTL,3.62,0.119,<0.01,<0.05,groundwater,8/8/19,12:00,time unknown,groundwater
groundwater_2019-08-14,0.036116182,0.1916467,BTL,BTL,BTL,1.487813958,0.333876914,BTL,BTL,5.035,0.1538,<0.01,<0.05,groundwater,8/14/19,12:00,time unknown,groundwater
ssoutlet_2019-07-11_1500,0.071881181,0.65600886,BTL,BTL,BTL,BTL,0.315976973,BTL,BTL,3.728,0.1499,<0.01,<0.05,ssoutlet,7/11/19,15:00,,ssoutlet
ssoutlet_2019-07-16_1800,0.076521157,0.767975693,BTL,BTL,0.041175128,BTL,0.392048808,BTL,BTL,4.764,0.2779,<0.01,<0.05,ssoutlet,7/16/19,18:00,,ssoutlet
ssoutlet_2019-07-19,0.082513961,0.88648654,BTL,BTL,0.040308311,BTL,0.307629226,BTL,BTL,3.853,0.2252,<0.01,<0.05,ssoutlet,7/19/19,12:00,time unknown,ssoutlet
ssoutlet_2019-07-22,0.035363777,0.482278446,BTL,BTL,0.066392671,BTL,0.245773872,BTL,BTL,3.723,0.1382,<0.01,<0.05,ssoutlet,7/22/19,12:00,time unknown,ssoutlet
ssoutlet_2019-07-26,0.023938301,0.26309818,BTL,BTL,BTL,BTL,0.431587529,BTL,BTL,5.514,0.1676,<0.01,<0.05,ssoutlet,7/26/19,12:00,time unknown,ssoutlet
ssoutlet_2019-07-31,0.036133255,0.338388267,BTL,BTL,BTL,BTL,0.250560094,BTL,BTL,5.561,0.1585,<0.01,<0.05,ssoutlet,7/31/19,12:00,time unknown,ssoutlet
ssoutlet_2019-08-02or12,0.026325204,0.160534328,BTL,BTL,0.040550747,BTL,0.285240636,BTL,BTL,3.479,0.1356,<0.01,<0.05,ssoutlet,8/2/19,12:00,time unknown,ssoutlet
ssoutlet_2019-08-05,0.026758693,0.187054753,BTL,BTL,BTL,BTL,0.2652393,BTL,BTL,3.224,0.2238,<0.01,<0.05,ssoutlet,8/5/19,12:00,time unknown,ssoutlet
ssoutlet_2019-08-08,0.022558331,0.168210498,BTL,BTL,BTL,BTL,0.238191663,BTL,BTL,4.462,0.295,<0.01,<0.05,ssoutlet,8/8/19,12:00,time unknown,ssoutlet
ssoutlet_2019-08-14,0.064073545,1.441230392,BTL,BTL,0.101473783,BTL,0.488007865,BTL,BTL,2.906,0.09103,<0.01,<0.05,ssoutlet,8/14/19,12:00,time unknown,ssoutlet
ssoutlet_2019-08-14-REP,BTL,BTL,BTL,BTL,BTL,BTL,BTL,BTL,BTL,7.187,0.2914,<0.01,<0.05,ssoutlet,8/14/19,12:00,time unknown,ssoutlet
groundwater_2019-07-19-REP,0.030495655,0.230814622,BTL,BTL,0.042207615,BTL,0.362418179,BTL,BTL,NA,NA,NA,NA,groundwater,7/19/19,12:00,time unknown,groundwater
