Date,Time,ms,LEVEL,TEMPERATURE,Level mH20,
7/10/2019,11:44:31 PM,0,-0.0119,2.635,-0.001213491,7/10/19 23:44:31
7/10/2019,11:59:31 PM,0,-0.016,2.515,-0.001631584,7/10/19 23:59:31
7/11/2019,12:14:31 AM,0,-0.0136,2.398,-0.001386846,7/11/19 00:14:31
7/11/2019,12:29:31 AM,0,-0.0156,2.33,-0.001590794,7/11/19 00:29:31
7/11/2019,12:44:31 AM,0,-0.0128,2.313,-0.001305267,7/11/19 00:44:31
7/11/2019,12:59:31 AM,0,-0.013,2.42,-0.001325662,7/11/19 00:59:31
7/11/2019,1:14:31 AM,0,-0.0146,2.51,-0.00148882,7/11/19 01:14:31
7/11/2019,1:29:31 AM,0,-0.0132,2.521,-0.001346057,7/11/19 01:29:31
7/11/2019,1:44:31 AM,0,-0.0141,2.503,-0.001437833,7/11/19 01:44:31
7/11/2019,1:59:31 AM,0,-0.0145,2.516,-0.001478623,7/11/19 01:59:31
7/11/2019,2:14:31 AM,0,-0.0135,2.492,-0.001376649,7/11/19 02:14:31
7/11/2019,2:29:31 AM,0,-0.0123,2.508,-0.00125428,7/11/19 02:29:31
7/11/2019,2:44:31 AM,0,-0.011,2.551,-0.001121714,7/11/19 02:44:31
7/11/2019,2:59:31 AM,0,-0.0115,2.512,-0.001172701,7/11/19 02:59:31
7/11/2019,3:14:31 AM,0,-0.0119,2.507,-0.001213491,7/11/19 03:14:31
7/11/2019,3:29:31 AM,0,-0.0122,2.473,-0.001244083,7/11/19 03:29:31
7/11/2019,3:44:31 AM,0,-0.0123,2.272,-0.00125428,7/11/19 03:44:31
7/11/2019,3:59:31 AM,0,-0.0119,2.247,-0.001213491,7/11/19 03:59:31
7/11/2019,4:14:31 AM,0,-0.0095,2.335,-0.000968753,7/11/19 04:14:31
7/11/2019,4:29:31 AM,0,-0.0121,2.412,-0.001233885,7/11/19 04:29:31
7/11/2019,4:44:31 AM,0,-0.0138,2.413,-0.001407241,7/11/19 04:44:31
7/11/2019,4:59:31 AM,0,-0.0104,2.403,-0.00106053,7/11/19 04:59:31
7/11/2019,5:14:31 AM,0,-0.0092,2.444,-0.000938161,7/11/19 05:14:31
7/11/2019,5:29:31 AM,0,-0.0103,2.464,-0.001050332,7/11/19 05:29:31
7/11/2019,5:44:31 AM,0,-0.0116,2.393,-0.001182898,7/11/19 05:44:31
7/11/2019,5:59:31 AM,0,-0.0093,2.391,-0.000948358,7/11/19 05:59:31
7/11/2019,6:14:31 AM,0,-0.0139,2.403,-0.001417439,7/11/19 06:14:31
7/11/2019,6:29:31 AM,0,-0.0108,2.364,-0.001101319,7/11/19 06:29:31
7/11/2019,6:44:31 AM,0,-0.0117,2.288,-0.001193096,7/11/19 06:44:31
7/11/2019,6:59:31 AM,0,-0.009,2.27,-0.000917766,7/11/19 06:59:31
7/11/2019,7:14:31 AM,0,-0.0072,2.365,-0.000734213,7/11/19 07:14:31
7/11/2019,7:29:31 AM,0,-0.0096,2.205,-0.00097895,7/11/19 07:29:31
7/11/2019,7:44:31 AM,0,-0.0055,5.771,-0.000560857,7/11/19 07:44:31
7/11/2019,7:59:31 AM,0,-0.0036,7.303,-0.000367106,7/11/19 07:59:31
7/11/2019,8:14:31 AM,0,0.0002,8.607,2.04E-05,7/11/19 08:14:31
7/11/2019,8:29:31 AM,0,-0.0028,9.245,-0.000285527,7/11/19 08:29:31
7/11/2019,8:44:31 AM,0,0.0003,9.65,3.06E-05,7/11/19 08:44:31
7/11/2019,8:59:31 AM,0,-0.0001,9.756,-1.02E-05,7/11/19 08:59:31
7/11/2019,9:14:31 AM,0,0.0008,9.394,8.16E-05,7/11/19 09:14:31
7/11/2019,9:29:31 AM,0,0.0005,8.87,0.000050987,7/11/19 09:29:31
7/11/2019,9:44:31 AM,0,0.0002,8.426,2.04E-05,7/11/19 09:44:31
7/11/2019,9:59:31 AM,0,-0.0048,8.236,-0.000489475,7/11/19 09:59:31
7/11/2019,10:14:31 AM,0,-0.0029,8.868,-0.000295725,7/11/19 10:14:31
7/11/2019,10:29:31 AM,0,-0.002,9.527,-0.000203948,7/11/19 10:29:31
7/11/2019,10:44:31 AM,0,-0.0032,10.094,-0.000326317,7/11/19 10:44:31
7/11/2019,10:59:31 AM,0,-0.0011,10.633,-0.000112171,7/11/19 10:59:31
7/11/2019,11:14:31 AM,0,0.0015,11.109,0.000152961,7/11/19 11:14:31
7/11/2019,11:29:31 AM,0,0.0019,11.352,0.000193751,7/11/19 11:29:31
7/11/2019,11:44:31 AM,0,0.1672,12.043,0.017050053,7/11/19 11:44:31
7/11/2019,11:59:31 AM,0,0.1691,11.484,0.017243803,7/11/19 11:59:31
7/11/2019,12:14:31 PM,0,0.1684,12.069,0.017172422,7/11/19 12:14:31
7/11/2019,12:29:31 PM,0,0.1684,12.677,0.017172422,7/11/19 12:29:31
7/11/2019,12:44:31 PM,0,0.1725,12.93,0.017590515,7/11/19 12:44:31
7/11/2019,12:59:31 PM,0,0.1732,13.523,0.017661897,7/11/19 12:59:31
7/11/2019,1:14:31 PM,0,0.1649,14.162,0.016815513,7/11/19 13:14:31
7/11/2019,1:29:31 PM,0,0.1741,14.685,0.017753673,7/11/19 13:29:31
7/11/2019,1:44:31 PM,0,0.1627,14.968,0.01659117,7/11/19 13:44:31
7/11/2019,1:59:31 PM,0,0.1679,15.104,0.017121435,7/11/19 13:59:31
7/11/2019,2:14:31 PM,0,0.1683,15.023,0.017162224,7/11/19 14:14:31
7/11/2019,2:29:31 PM,0,0.1645,14.844,0.016774723,7/11/19 14:29:31
7/11/2019,2:44:31 PM,0,0.1605,14.48,0.016366827,7/11/19 14:44:31
7/11/2019,2:59:31 PM,0,0.16,14.167,0.01631584,7/11/19 14:59:31
7/11/2019,3:14:31 PM,0,0.1593,13.712,0.016244458,7/11/19 15:14:31
7/11/2019,3:29:31 PM,0,0.1604,13.377,0.01635663,7/11/19 15:29:31
7/11/2019,3:44:31 PM,0,0.1603,13.023,0.016346432,7/11/19 15:44:31
7/11/2019,3:59:31 PM,0,0.1599,13.009,0.016305643,7/11/19 15:59:31
7/11/2019,4:14:31 PM,0,0.1574,12.67,0.016050708,7/11/19 16:14:31
7/11/2019,4:29:31 PM,0,0.1549,12.584,0.015795773,7/11/19 16:29:31
7/11/2019,4:44:31 PM,0,0.1555,12.456,0.015856957,7/11/19 16:44:31
7/11/2019,4:59:31 PM,0,0.1574,12.363,0.016050708,7/11/19 16:59:31
7/11/2019,5:14:31 PM,0,0.1579,12.247,0.016101695,7/11/19 17:14:31
7/11/2019,5:29:31 PM,0,0.1584,12.02,0.016152682,7/11/19 17:29:31
7/11/2019,5:44:31 PM,0,0.1564,11.724,0.015948734,7/11/19 17:44:31
7/11/2019,5:59:31 PM,0,0.1563,11.489,0.015938536,7/11/19 17:59:31
7/11/2019,6:14:31 PM,0,0.1538,11.244,0.015683601,7/11/19 18:14:31
7/11/2019,6:29:31 PM,0,0.1539,10.991,0.015693799,7/11/19 18:29:31
7/11/2019,6:44:31 PM,0,0.1521,10.771,0.015510245,7/11/19 18:44:31
7/11/2019,6:59:31 PM,0,0.1518,10.59,0.015479653,7/11/19 18:59:31
7/11/2019,7:14:31 PM,0,0.1504,10.431,0.01533689,7/11/19 19:14:31
7/11/2019,7:29:31 PM,0,0.1484,10.3,0.015132942,7/11/19 19:29:31
7/11/2019,7:44:31 PM,0,0.1484,10.18,0.015132942,7/11/19 19:44:31
7/11/2019,7:59:31 PM,0,0.1471,10.067,0.015000375,7/11/19 19:59:31
7/11/2019,8:14:31 PM,0,0.1479,9.957,0.015081955,7/11/19 20:14:31
7/11/2019,8:29:31 PM,0,0.1489,9.832,0.015183929,7/11/19 20:29:31
7/11/2019,8:44:31 PM,0,0.1474,9.705,0.015030968,7/11/19 20:44:31
7/11/2019,8:59:31 PM,0,0.1458,9.598,0.014867809,7/11/19 20:59:31
7/11/2019,9:14:31 PM,0,0.1496,9.483,0.01525531,7/11/19 21:14:31
7/11/2019,9:29:31 PM,0,0.1459,9.396,0.014878007,7/11/19 21:29:31
7/11/2019,9:44:31 PM,0,0.1468,9.295,0.014969783,7/11/19 21:44:31
7/11/2019,9:59:31 PM,0,0.1445,9.205,0.014735243,7/11/19 21:59:31
7/11/2019,10:14:31 PM,0,0.1449,9.12,0.014776033,7/11/19 22:14:31
7/11/2019,10:29:31 PM,0,0.1475,9.026,0.015041165,7/11/19 22:29:31
7/11/2019,10:44:31 PM,0,0.1455,8.947,0.014837217,7/11/19 22:44:31
7/11/2019,10:59:31 PM,0,0.1439,8.87,0.014674059,7/11/19 22:59:31
7/11/2019,11:14:31 PM,0,0.1448,8.809,0.014765835,7/11/19 23:14:31
7/11/2019,11:29:31 PM,0,0.1442,8.748,0.014704651,7/11/19 23:29:31
7/11/2019,11:44:31 PM,0,0.1442,8.691,0.014704651,7/11/19 23:44:31
7/11/2019,11:59:31 PM,0,0.144,8.599,0.014684256,7/11/19 23:59:31
7/12/2019,12:14:31 AM,0,0.145,8.539,0.01478623,7/12/19 00:14:31
7/12/2019,12:29:31 AM,0,0.1423,8.474,0.0145109,7/12/19 00:29:31
7/12/2019,12:44:31 AM,0,0.1453,8.414,0.014816822,7/12/19 00:44:31
7/12/2019,12:59:31 AM,0,0.1434,8.369,0.014623072,7/12/19 00:59:31
7/12/2019,1:14:31 AM,0,0.1429,8.299,0.014572085,7/12/19 01:14:31
7/12/2019,1:29:31 AM,0,0.1454,8.232,0.01482702,7/12/19 01:29:31
7/12/2019,1:44:31 AM,0,0.1434,8.189,0.014623072,7/12/19 01:44:31
7/12/2019,1:59:31 AM,0,0.1414,8.132,0.014419124,7/12/19 01:59:31
7/12/2019,2:14:31 AM,0,0.1437,8.067,0.014653664,7/12/19 02:14:31
7/12/2019,2:29:31 AM,0,0.1448,8.013,0.014765835,7/12/19 02:29:31
7/12/2019,2:44:31 AM,0,0.1445,7.961,0.014735243,7/12/19 02:44:31
7/12/2019,2:59:31 AM,0,0.1441,7.918,0.014694453,7/12/19 02:59:31
7/12/2019,3:14:31 AM,0,0.1448,7.883,0.014765835,7/12/19 03:14:31
7/12/2019,3:29:31 AM,0,0.1429,7.842,0.014572085,7/12/19 03:29:31
7/12/2019,3:44:31 AM,0,0.1433,7.803,0.014612874,7/12/19 03:44:31
7/12/2019,3:59:31 AM,0,0.1438,7.749,0.014663861,7/12/19 03:59:31
7/12/2019,4:14:31 AM,0,0.1427,7.695,0.01455169,7/12/19 04:14:31
7/12/2019,4:29:31 AM,0,0.1421,7.636,0.014490505,7/12/19 04:29:31
7/12/2019,4:44:31 AM,0,0.1431,7.58,0.014592479,7/12/19 04:44:31
7/12/2019,4:59:31 AM,0,0.1429,7.51,0.014572085,7/12/19 04:59:31
7/12/2019,5:14:31 AM,0,0.1415,7.439,0.014429321,7/12/19 05:14:31
7/12/2019,5:29:31 AM,0,0.1423,7.369,0.0145109,7/12/19 05:29:31
7/12/2019,5:44:31 AM,0,0.1426,7.315,0.014541492,7/12/19 05:44:31
7/12/2019,5:59:31 AM,0,0.1423,7.262,0.0145109,7/12/19 05:59:31
7/12/2019,6:14:31 AM,0,0.1402,7.213,0.014296755,7/12/19 06:14:31
7/12/2019,6:29:31 AM,0,0.1419,7.16,0.014470111,7/12/19 06:29:31
7/12/2019,6:44:31 AM,0,0.1425,7.127,0.014531295,7/12/19 06:44:31
7/12/2019,6:59:31 AM,0,0.1429,7.113,0.014572085,7/12/19 06:59:31
7/12/2019,7:14:31 AM,0,0.1418,7.101,0.014459913,7/12/19 07:14:31
7/12/2019,7:29:31 AM,0,0.1433,7.121,0.014612874,7/12/19 07:29:31
7/12/2019,7:44:31 AM,0,0.1449,7.141,0.014776033,7/12/19 07:44:31
7/12/2019,7:59:31 AM,0,0.1426,7.213,0.014541492,7/12/19 07:59:31
7/12/2019,8:14:31 AM,0,0.1452,7.341,0.014806625,7/12/19 08:14:31
7/12/2019,8:29:31 AM,0,0.1465,7.443,0.014939191,7/12/19 08:29:31
7/12/2019,8:44:31 AM,0,0.1483,7.544,0.015122744,7/12/19 08:44:31
7/12/2019,8:59:31 AM,0,0.15,7.67,0.0152961,7/12/19 08:59:31
7/12/2019,9:14:31 AM,0,0.1487,7.747,0.015163534,7/12/19 09:14:31
7/12/2019,9:29:31 AM,0,0.1504,7.894,0.01533689,7/12/19 09:29:31
7/12/2019,9:44:31 AM,0,0.1501,8.04,0.015306297,7/12/19 09:44:31
7/12/2019,9:59:31 AM,0,0.1516,8.224,0.015459258,7/12/19 09:59:31
7/12/2019,10:14:31 AM,0,0.1524,8.505,0.015540838,7/12/19 10:14:31
7/12/2019,10:29:31 AM,0,0.1528,8.804,0.015581627,7/12/19 10:29:31
7/12/2019,10:44:31 AM,0,0.1617,9.295,0.016489196,7/12/19 10:44:31
7/12/2019,10:59:31 AM,0,0.1622,9.622,0.016540183,7/12/19 10:59:31
7/12/2019,11:14:31 AM,0,0.163,9.843,0.016621762,7/12/19 11:14:31
