Date,Time,ms,LEVEL (kPa),TEMPERATURE,
7/13/2019,11:30:00 AM,0,1.9342,8.723,7/13/19 11:30:00
7/13/2019,11:45:00 AM,0,1.8775,8.797,7/13/19 11:45:00
7/13/2019,12:00:00 PM,0,1.831,8.928,7/13/19 12:00:00
7/13/2019,12:15:00 PM,0,1.8457,9.237,7/13/19 12:15:00
7/13/2019,12:30:00 PM,0,1.8442,9.394,7/13/19 12:30:00
7/13/2019,12:45:00 PM,0,1.9025,9.647,7/13/19 12:45:00
7/13/2019,1:00:00 PM,0,1.8711,9.805,7/13/19 13:00:00
7/13/2019,1:15:00 PM,0,1.913,9.915,7/13/19 13:15:00
7/13/2019,1:30:00 PM,0,1.8888,10.076,7/13/19 13:30:00
7/13/2019,1:45:00 PM,0,1.8517,10.178,7/13/19 13:45:00
7/13/2019,2:00:00 PM,0,1.9484,10.515,7/13/19 14:00:00
7/13/2019,2:15:00 PM,0,1.919,10.698,7/13/19 14:15:00
7/13/2019,2:30:00 PM,0,1.7656,10.793,7/13/19 14:30:00
7/13/2019,2:45:00 PM,0,1.8965,10.7,7/13/19 14:45:00
7/13/2019,3:00:00 PM,0,1.7925,10.781,7/13/19 15:00:00
7/13/2019,3:15:00 PM,0,1.8816,11.11,7/13/19 15:15:00
7/13/2019,3:30:00 PM,0,1.9015,11.288,7/13/19 15:30:00
7/13/2019,3:45:00 PM,0,1.8405,11.512,7/13/19 15:45:00
7/13/2019,4:00:00 PM,0,1.812,11.611,7/13/19 16:00:00
7/13/2019,4:15:00 PM,0,1.8243,11.605,7/13/19 16:15:00
7/13/2019,4:30:00 PM,0,1.894,11.555,7/13/19 16:30:00
7/13/2019,4:45:00 PM,0,1.8129,11.347,7/13/19 16:45:00
7/13/2019,5:00:00 PM,0,1.8233,11.148,7/13/19 17:00:00
7/13/2019,5:15:00 PM,0,1.9167,10.945,7/13/19 17:15:00
7/13/2019,5:30:00 PM,0,1.8298,10.761,7/13/19 17:30:00
7/13/2019,5:45:00 PM,0,1.8257,10.559,7/13/19 17:45:00
7/13/2019,6:00:00 PM,0,1.8804,10.315,7/13/19 18:00:00
7/13/2019,6:15:00 PM,0,1.8335,10.078,7/13/19 18:15:00
7/13/2019,6:30:00 PM,0,1.8306,9.858,7/13/19 18:30:00
7/13/2019,6:45:00 PM,0,1.7598,9.669,7/13/19 18:45:00
7/13/2019,7:00:00 PM,0,1.8409,9.517,7/13/19 19:00:00
7/13/2019,7:15:00 PM,0,1.9234,9.398,7/13/19 19:15:00
7/13/2019,7:30:00 PM,0,1.8739,9.247,7/13/19 19:30:00
7/13/2019,7:45:00 PM,0,1.847,9.134,7/13/19 19:45:00
7/13/2019,8:00:00 PM,0,1.8479,9.002,7/13/19 20:00:00
7/13/2019,8:15:00 PM,0,1.9095,8.887,7/13/19 20:15:00
7/13/2019,8:30:00 PM,0,1.7998,8.793,7/13/19 20:30:00
7/13/2019,8:45:00 PM,0,1.835,8.7,7/13/19 20:45:00
7/13/2019,9:00:00 PM,0,1.8757,8.598,7/13/19 21:00:00
7/13/2019,9:15:00 PM,0,1.8638,8.516,7/13/19 21:15:00
7/13/2019,9:30:00 PM,0,1.8293,8.433,7/13/19 21:30:00
7/13/2019,9:45:00 PM,0,1.8059,8.353,7/13/19 21:45:00
7/13/2019,10:00:00 PM,0,1.8767,8.283,7/13/19 22:00:00
7/13/2019,10:15:00 PM,0,1.8083,8.218,7/13/19 22:15:00
7/13/2019,10:30:00 PM,0,1.8415,8.151,7/13/19 22:30:00
7/13/2019,10:45:00 PM,0,1.7746,8.085,7/13/19 22:45:00
7/13/2019,11:00:00 PM,0,1.8297,8.019,7/13/19 23:00:00
7/13/2019,11:15:00 PM,0,1.8095,7.959,7/13/19 23:15:00
7/13/2019,11:30:00 PM,0,1.8633,7.91,7/13/19 23:30:00
7/13/2019,11:45:00 PM,0,1.774,7.835,7/13/19 23:45:00
7/14/2019,12:00:00 AM,0,1.8542,7.746,7/14/19 00:00:00
7/14/2019,12:15:00 AM,0,1.8327,7.673,7/14/19 00:15:00
7/14/2019,12:30:00 AM,0,1.8816,7.585,7/14/19 00:30:00
7/14/2019,12:45:00 AM,0,1.821,7.497,7/14/19 00:45:00
7/14/2019,1:00:00 AM,0,1.8756,7.397,7/14/19 01:00:00
7/14/2019,1:15:00 AM,0,1.8576,7.313,7/14/19 01:15:00
7/14/2019,1:30:00 AM,0,1.8572,7.244,7/14/19 01:30:00
7/14/2019,1:45:00 AM,0,1.8205,7.182,7/14/19 01:45:00
7/14/2019,2:00:00 AM,0,1.8531,7.138,7/14/19 02:00:00
7/14/2019,2:15:00 AM,0,1.8653,7.103,7/14/19 02:15:00
7/14/2019,2:30:00 AM,0,1.8206,7.073,7/14/19 02:30:00
7/14/2019,2:45:00 AM,0,1.8197,7.042,7/14/19 02:45:00
7/14/2019,3:00:00 AM,0,1.8312,7.012,7/14/19 03:00:00
7/14/2019,3:15:00 AM,0,1.8515,6.979,7/14/19 03:15:00
7/14/2019,3:30:00 AM,0,1.8745,6.95,7/14/19 03:30:00
7/14/2019,3:45:00 AM,0,1.9045,6.892,7/14/19 03:45:00
7/14/2019,4:00:00 AM,0,1.8307,6.852,7/14/19 04:00:00
7/14/2019,4:15:00 AM,0,1.8598,6.8,7/14/19 04:15:00
7/14/2019,4:30:00 AM,0,1.8884,6.746,7/14/19 04:30:00
7/14/2019,4:45:00 AM,0,1.8511,6.694,7/14/19 04:45:00
7/14/2019,5:00:00 AM,0,1.8735,6.629,7/14/19 05:00:00
7/14/2019,5:15:00 AM,0,1.8445,6.558,7/14/19 05:15:00
7/14/2019,5:30:00 AM,0,1.8651,6.503,7/14/19 05:30:00
7/14/2019,5:45:00 AM,0,1.8597,6.453,7/14/19 05:45:00
7/14/2019,6:00:00 AM,0,1.8608,6.405,7/14/19 06:00:00
7/14/2019,6:15:00 AM,0,1.8886,6.343,7/14/19 06:15:00
7/14/2019,6:30:00 AM,0,1.9006,6.284,7/14/19 06:30:00
7/14/2019,6:45:00 AM,0,1.9169,6.238,7/14/19 06:45:00
7/14/2019,7:00:00 AM,0,1.9274,6.214,7/14/19 07:00:00
7/14/2019,7:15:00 AM,0,1.9298,6.197,7/14/19 07:15:00
7/14/2019,7:30:00 AM,0,1.9334,6.229,7/14/19 07:30:00
7/14/2019,7:45:00 AM,0,1.9746,6.236,7/14/19 07:45:00
7/14/2019,8:00:00 AM,0,2.0104,6.161,7/14/19 08:00:00
7/14/2019,8:15:00 AM,0,2.0477,6.078,7/14/19 08:15:00
7/14/2019,8:30:00 AM,0,2.0845,6.07,7/14/19 08:30:00
7/14/2019,8:45:00 AM,0,2.0887,6.04,7/14/19 08:45:00
7/14/2019,9:00:00 AM,0,2.1232,5.956,7/14/19 09:00:00
7/14/2019,9:15:00 AM,0,2.1225,5.769,7/14/19 09:15:00
7/14/2019,9:30:00 AM,0,2.1597,5.678,7/14/19 09:30:00
7/14/2019,9:45:00 AM,0,2.1871,5.786,7/14/19 09:45:00
7/14/2019,10:00:00 AM,0,2.2674,5.918,7/14/19 10:00:00
7/14/2019,10:15:00 AM,0,2.332,5.88,7/14/19 10:15:00
7/14/2019,10:30:00 AM,0,2.4127,5.933,7/14/19 10:30:00
7/14/2019,10:45:00 AM,0,2.5704,6.126,7/14/19 10:45:00
7/14/2019,11:00:00 AM,0,2.5809,6.251,7/14/19 11:00:00
7/14/2019,11:15:00 AM,0,2.6421,6.339,7/14/19 11:15:00
7/14/2019,11:30:00 AM,0,2.9854,6.389,7/14/19 11:30:00
7/14/2019,11:45:00 AM,0,2.9932,6.311,7/14/19 11:45:00
7/14/2019,12:00:00 PM,0,3.1554,6.531,7/14/19 12:00:00
7/14/2019,12:15:00 PM,0,3.1807,6.7,7/14/19 12:15:00
7/14/2019,12:30:00 PM,0,3.2781,6.76,7/14/19 12:30:00
7/14/2019,12:45:00 PM,0,3.4262,6.858,7/14/19 12:45:00
7/14/2019,1:00:00 PM,0,3.3515,6.885,7/14/19 13:00:00
7/14/2019,1:15:00 PM,0,3.4138,6.812,7/14/19 13:15:00
7/14/2019,1:30:00 PM,0,3.5982,6.811,7/14/19 13:30:00
7/14/2019,1:45:00 PM,0,3.7733,6.811,7/14/19 13:45:00
7/14/2019,2:00:00 PM,0,3.6543,6.777,7/14/19 14:00:00
7/14/2019,2:15:00 PM,0,3.715,6.73,7/14/19 14:15:00
7/14/2019,2:30:00 PM,0,3.6588,6.715,7/14/19 14:30:00
7/14/2019,2:45:00 PM,0,3.5661,6.697,7/14/19 14:45:00
7/14/2019,3:00:00 PM,0,3.4461,6.748,7/14/19 15:00:00
7/14/2019,3:15:00 PM,0,3.3789,6.783,7/14/19 15:15:00
7/14/2019,3:30:00 PM,0,3.363,6.738,7/14/19 15:30:00
7/14/2019,3:45:00 PM,0,3.1898,6.683,7/14/19 15:45:00
7/14/2019,4:00:00 PM,0,3.2051,6.647,7/14/19 16:00:00
7/14/2019,4:15:00 PM,0,3.1287,6.586,7/14/19 16:15:00
7/14/2019,4:30:00 PM,0,3.0261,6.533,7/14/19 16:30:00
7/14/2019,4:45:00 PM,0,3.0298,6.489,7/14/19 16:45:00
7/14/2019,5:00:00 PM,0,2.9742,6.442,7/14/19 17:00:00
7/14/2019,5:15:00 PM,0,3.0396,6.371,7/14/19 17:15:00
7/14/2019,5:30:00 PM,0,2.9223,6.3,7/14/19 17:30:00
7/14/2019,5:45:00 PM,0,2.9586,6.226,7/14/19 17:45:00
7/14/2019,6:00:00 PM,0,2.9059,6.079,7/14/19 18:00:00
7/14/2019,6:15:00 PM,0,2.8512,5.979,7/14/19 18:15:00
7/14/2019,6:30:00 PM,0,2.8333,5.921,7/14/19 18:30:00
7/14/2019,6:45:00 PM,0,2.8556,5.832,7/14/19 18:45:00
7/14/2019,7:00:00 PM,0,2.8035,5.764,7/14/19 19:00:00
7/14/2019,7:15:00 PM,0,2.7185,5.699,7/14/19 19:15:00
7/14/2019,7:30:00 PM,0,2.7785,5.616,7/14/19 19:30:00
7/14/2019,7:45:00 PM,0,2.7874,5.556,7/14/19 19:45:00
7/14/2019,8:00:00 PM,0,2.7516,5.514,7/14/19 20:00:00
7/14/2019,8:15:00 PM,0,2.6918,5.459,7/14/19 20:15:00
7/14/2019,8:30:00 PM,0,2.6599,5.427,7/14/19 20:30:00
7/14/2019,8:45:00 PM,0,2.6427,5.391,7/14/19 20:45:00
7/14/2019,9:00:00 PM,0,2.6867,5.342,7/14/19 21:00:00
7/14/2019,9:15:00 PM,0,2.6166,5.288,7/14/19 21:15:00
7/14/2019,9:30:00 PM,0,2.622,5.243,7/14/19 21:30:00
7/14/2019,9:45:00 PM,0,2.6467,5.209,7/14/19 21:45:00
7/14/2019,10:00:00 PM,0,2.5661,5.153,7/14/19 22:00:00
7/14/2019,10:15:00 PM,0,2.5944,5.119,7/14/19 22:15:00
7/14/2019,10:30:00 PM,0,2.5675,5.087,7/14/19 22:30:00
7/14/2019,10:45:00 PM,0,2.5485,5.033,7/14/19 22:45:00
7/14/2019,11:00:00 PM,0,2.646,4.975,7/14/19 23:00:00
7/14/2019,11:15:00 PM,0,2.614,4.953,7/14/19 23:15:00
7/14/2019,11:30:00 PM,0,2.5868,4.927,7/14/19 23:30:00
7/14/2019,11:45:00 PM,0,2.5415,4.897,7/14/19 23:45:00
7/15/2019,12:00:00 AM,0,2.5459,4.859,7/15/19 00:00:00
7/15/2019,12:15:00 AM,0,2.5336,4.822,7/15/19 00:15:00
7/15/2019,12:30:00 AM,0,2.5739,4.803,7/15/19 00:30:00
7/15/2019,12:45:00 AM,0,2.5795,4.756,7/15/19 00:45:00
7/15/2019,1:00:00 AM,0,2.5676,4.678,7/15/19 01:00:00
7/15/2019,1:15:00 AM,0,2.5816,4.577,7/15/19 01:15:00
7/15/2019,1:30:00 AM,0,2.5394,4.567,7/15/19 01:30:00
7/15/2019,1:45:00 AM,0,2.5675,4.558,7/15/19 01:45:00
7/15/2019,2:00:00 AM,0,2.5572,4.547,7/15/19 02:00:00
7/15/2019,2:15:00 AM,0,2.6093,4.484,7/15/19 02:15:00
7/15/2019,2:30:00 AM,0,2.5723,4.467,7/15/19 02:30:00
7/15/2019,2:45:00 AM,0,2.5523,4.453,7/15/19 02:45:00
7/15/2019,3:00:00 AM,0,2.6084,4.434,7/15/19 03:00:00
7/15/2019,3:15:00 AM,0,2.6423,4.351,7/15/19 03:15:00
7/15/2019,3:30:00 AM,0,2.5945,4.198,7/15/19 03:30:00
7/15/2019,3:45:00 AM,0,2.6752,4.217,7/15/19 03:45:00
7/15/2019,4:00:00 AM,0,2.564,4.211,7/15/19 04:00:00
7/15/2019,4:15:00 AM,0,2.614,4.195,7/15/19 04:15:00
7/15/2019,4:30:00 AM,0,2.6695,4.19,7/15/19 04:30:00
7/15/2019,4:45:00 AM,0,2.6524,4.19,7/15/19 04:45:00
7/15/2019,5:00:00 AM,0,2.6841,4.151,7/15/19 05:00:00
7/15/2019,5:15:00 AM,0,2.6536,4.119,7/15/19 05:15:00
7/15/2019,5:30:00 AM,0,2.7289,4.067,7/15/19 05:30:00
7/15/2019,5:45:00 AM,0,2.7515,4.004,7/15/19 05:45:00
7/15/2019,6:00:00 AM,0,2.6793,3.959,7/15/19 06:00:00
7/15/2019,6:15:00 AM,0,2.7592,3.93,7/15/19 06:15:00
7/15/2019,6:30:00 AM,0,2.7762,3.923,7/15/19 06:30:00
7/15/2019,6:45:00 AM,0,2.7871,3.901,7/15/19 06:45:00
7/15/2019,7:00:00 AM,0,2.7333,3.942,7/15/19 07:00:00
7/15/2019,7:15:00 AM,0,2.7598,3.937,7/15/19 07:15:00
7/15/2019,7:30:00 AM,0,2.7895,3.96,7/15/19 07:30:00
7/15/2019,7:45:00 AM,0,2.777,4.023,7/15/19 07:45:00
7/15/2019,8:00:00 AM,0,2.7936,4.04,7/15/19 08:00:00
7/15/2019,8:15:00 AM,0,2.8446,4.064,7/15/19 08:15:00
7/15/2019,8:30:00 AM,0,2.8437,4.141,7/15/19 08:30:00
7/15/2019,8:45:00 AM,0,2.7858,4.205,7/15/19 08:45:00
7/15/2019,9:00:00 AM,0,2.7615,4.364,7/15/19 09:00:00
7/15/2019,9:15:00 AM,0,2.8246,4.478,7/15/19 09:15:00
7/15/2019,9:30:00 AM,0,2.7724,4.564,7/15/19 09:30:00
7/15/2019,9:45:00 AM,0,2.7977,4.573,7/15/19 09:45:00
7/15/2019,10:00:00 AM,0,2.9161,4.617,7/15/19 10:00:00
7/15/2019,10:15:00 AM,0,2.8774,4.604,7/15/19 10:15:00
7/15/2019,10:30:00 AM,0,2.9309,4.655,7/15/19 10:30:00
7/15/2019,10:45:00 AM,0,2.926,4.645,7/15/19 10:45:00
7/15/2019,11:00:00 AM,0,2.8747,4.816,7/15/19 11:00:00
7/15/2019,11:15:00 AM,0,2.9947,4.926,7/15/19 11:15:00
7/15/2019,11:30:00 AM,0,2.942,5.065,7/15/19 11:30:00
7/15/2019,11:45:00 AM,0,3.285,5.12,7/15/19 11:45:00
7/15/2019,12:00:00 PM,0,3.2236,5.423,7/15/19 12:00:00
7/15/2019,12:15:00 PM,0,3.3063,5.714,7/15/19 12:15:00
7/15/2019,12:30:00 PM,0,3.302,5.918,7/15/19 12:30:00
7/15/2019,12:45:00 PM,0,3.2362,5.895,7/15/19 12:45:00
7/15/2019,1:00:00 PM,0,3.2034,5.731,7/15/19 13:00:00
7/15/2019,1:15:00 PM,0,3.3753,5.783,7/15/19 13:15:00
7/15/2019,1:30:00 PM,0,3.4489,5.921,7/15/19 13:30:00
7/15/2019,1:45:00 PM,0,3.5223,6.136,7/15/19 13:45:00
7/15/2019,2:00:00 PM,0,3.6632,6.427,7/15/19 14:00:00
7/15/2019,2:15:00 PM,0,3.2793,6.366,7/15/19 14:15:00
7/15/2019,2:30:00 PM,0,3.4005,6.491,7/15/19 14:30:00
7/15/2019,2:45:00 PM,0,3.3746,6.658,7/15/19 14:45:00
7/15/2019,3:00:00 PM,0,3.2039,6.805,7/15/19 15:00:00
7/15/2019,3:15:00 PM,0,2.9812,6.836,7/15/19 15:15:00
7/15/2019,3:30:00 PM,0,3.0607,6.825,7/15/19 15:30:00
7/15/2019,3:45:00 PM,0,2.9816,6.994,7/15/19 15:45:00
7/15/2019,4:00:00 PM,0,3.0078,7.09,7/15/19 16:00:00
7/15/2019,4:15:00 PM,0,3.0224,7.117,7/15/19 16:15:00
7/15/2019,4:30:00 PM,0,3.053,7.113,7/15/19 16:30:00
7/15/2019,4:45:00 PM,0,2.9906,7.127,7/15/19 16:45:00
7/15/2019,5:00:00 PM,0,2.9627,7.265,7/15/19 17:00:00
7/15/2019,5:15:00 PM,0,2.9095,7.274,7/15/19 17:15:00
7/15/2019,5:30:00 PM,0,2.8989,7.154,7/15/19 17:30:00
7/15/2019,5:45:00 PM,0,2.8492,7.013,7/15/19 17:45:00
7/15/2019,6:00:00 PM,0,2.7993,6.928,7/15/19 18:00:00
7/15/2019,6:15:00 PM,0,2.8423,6.786,7/15/19 18:15:00
7/15/2019,6:30:00 PM,0,2.7067,6.641,7/15/19 18:30:00
7/15/2019,6:45:00 PM,0,2.7544,6.491,7/15/19 18:45:00
7/15/2019,7:00:00 PM,0,2.708,6.332,7/15/19 19:00:00
7/15/2019,7:15:00 PM,0,2.71,6.256,7/15/19 19:15:00
7/15/2019,7:30:00 PM,0,2.7317,6.163,7/15/19 19:30:00
7/15/2019,7:45:00 PM,0,2.6585,6.018,7/15/19 19:45:00
7/15/2019,8:00:00 PM,0,2.6523,5.928,7/15/19 20:00:00
7/15/2019,8:15:00 PM,0,2.5902,5.804,7/15/19 20:15:00
7/15/2019,8:30:00 PM,0,2.5736,5.625,7/15/19 20:30:00
7/15/2019,8:45:00 PM,0,2.5265,5.455,7/15/19 20:45:00
7/15/2019,9:00:00 PM,0,2.5431,5.306,7/15/19 21:00:00
7/15/2019,9:15:00 PM,0,2.5423,5.233,7/15/19 21:15:00
7/15/2019,9:30:00 PM,0,2.5418,5.145,7/15/19 21:30:00
7/15/2019,9:45:00 PM,0,2.5412,4.992,7/15/19 21:45:00
7/15/2019,10:00:00 PM,0,2.5124,4.847,7/15/19 22:00:00
7/15/2019,10:15:00 PM,0,2.542,4.698,7/15/19 22:15:00
7/15/2019,10:30:00 PM,0,2.5528,4.56,7/15/19 22:30:00
7/15/2019,10:45:00 PM,0,2.5214,4.466,7/15/19 22:45:00
7/15/2019,11:00:00 PM,0,2.5373,4.41,7/15/19 23:00:00
7/15/2019,11:15:00 PM,0,2.5181,4.365,7/15/19 23:15:00
7/15/2019,11:30:00 PM,0,2.5059,4.351,7/15/19 23:30:00
7/15/2019,11:45:00 PM,0,2.4609,4.338,7/15/19 23:45:00
7/16/2019,12:00:00 AM,0,2.4989,4.32,7/16/19 00:00:00
7/16/2019,12:15:00 AM,0,2.5331,4.291,7/16/19 00:15:00
7/16/2019,12:30:00 AM,0,2.46,4.246,7/16/19 00:30:00
7/16/2019,12:45:00 AM,0,2.5079,4.187,7/16/19 00:45:00
7/16/2019,1:00:00 AM,0,2.5076,4.14,7/16/19 01:00:00
7/16/2019,1:15:00 AM,0,2.454,4.079,7/16/19 01:15:00
7/16/2019,1:30:00 AM,0,2.4944,3.998,7/16/19 01:30:00
7/16/2019,1:45:00 AM,0,2.4272,3.925,7/16/19 01:45:00
7/16/2019,2:00:00 AM,0,2.464,3.855,7/16/19 02:00:00
7/16/2019,2:15:00 AM,0,2.4561,3.803,7/16/19 02:15:00
7/16/2019,2:30:00 AM,0,2.4705,3.722,7/16/19 02:30:00
7/16/2019,2:45:00 AM,0,2.4283,3.66,7/16/19 02:45:00
7/16/2019,3:00:00 AM,0,2.4341,3.606,7/16/19 03:00:00
7/16/2019,3:15:00 AM,0,2.4308,3.558,7/16/19 03:15:00
7/16/2019,3:30:00 AM,0,2.3886,3.497,7/16/19 03:30:00
7/16/2019,3:45:00 AM,0,2.4252,3.441,7/16/19 03:45:00
7/16/2019,4:00:00 AM,0,2.4037,3.399,7/16/19 04:00:00
7/16/2019,4:15:00 AM,0,2.3867,3.357,7/16/19 04:15:00
7/16/2019,4:30:00 AM,0,2.3339,3.298,7/16/19 04:30:00
7/16/2019,4:45:00 AM,0,2.364,3.24,7/16/19 04:45:00
7/16/2019,5:00:00 AM,0,2.3534,3.224,7/16/19 05:00:00
7/16/2019,5:15:00 AM,0,2.3937,3.2,7/16/19 05:15:00
7/16/2019,5:30:00 AM,0,2.3522,3.183,7/16/19 05:30:00
7/16/2019,5:45:00 AM,0,2.364,3.153,7/16/19 05:45:00
